trainPoints_x1,trainPoints_x2,trainLabel,testPoints_x1,testPoints_x2,testLabel
1.947004608,4.256559767,-1,-1.888977133,-4.622611338,1
0.794930876,3.556851312,-1,4.233796421,3.851680082,1
-0.264976959,2.128279883,-1,-0.697926087,4.132868276,-1
-1.555299539,0.408163265,-1,-3.151836799,2.961838736,-1
-0.956221198,-0.991253644,-1,4.048809687,-4.012877213,1
0.380184332,-2.419825073,-1,4.797483784,-2.381288161,1
1.947004608,-3.411078717,-1,-0.611300269,-1.6464316,-1
3.905529954,-4.373177843,-1,-3.888807766,1.797279514,-1
3.352534562,4.606413994,-1,-2.419353041,-3.634468626,-1
-1.555299539,2.682215743,-1,-0.912801539,2.212274986,-1
-3.099078341,3.906705539,-1,0.94896074,-3.932381384,1
-3.536866359,-0.524781341,-1,-2.377882522,1.537573487,-1
-3.214285714,1.457725948,-1,1.028430894,-0.058260634,1
-1.255760369,-3.148688047,-1,2.112157804,2.790517232,-1
1.716589862,1.078717201,-1,-2.78253266,2.150370784,-1
1.463133641,-0.932944606,-1,-3.825823491,4.037205606,-1
-3.882488479,-2.565597668,-1,-2.033241268,3.909225043,-1
-2.960829493,-4.198250729,-1,-1.812216981,-1.658369473,-1
4.228110599,0.932944606,-1,-0.758332403,1.987458323,-1
-2.661290323,-1.720116618,-1,0.078582847,-3.021901733,-1
3.283410138,3.61516035,1,-4.144842029,-4.694590537,-1
2.592165899,3.206997085,1,-2.375177653,2.440742604,-1
1.278801843,1.282798834,1,3.010146228,0.000224356,1
1.255760369,0.466472303,1,-4.707797224,-0.200778589,-1
2.085253456,0.991253644,1,4.288541395,4.047222381,1
1.831797235,-0.758017493,1,2.303308629,1.098666484,1
1.278801843,-1.574344023,1,-0.113910262,1.176663896,1
0.841013825,-0.641399417,1,0.78525061,3.594423056,-1
4.205069124,0.524781341,1,-2.627164202,3.054894245,-1
3.652073733,1.137026239,1,-0.411511718,0.767215156,-1
4.573732719,1.370262391,1,4.630885393,-3.170775306,1
3.536866359,-3.935860058,1,0.468057187,-2.600679894,1
1.923963134,-3.935860058,1,0.211358308,3.865119331,-1
2.338709677,-3.411078717,1,-2.684056133,-4.713258475,-1
4.297235023,-4.373177843,1,-0.111022561,-0.100986115,1
4.043778802,-3.702623907,1,1.240600882,-3.320728543,-1
0.933179724,-2.157434402,1,1.791355409,4.786806496,-1
0.149769585,-0.145772595,1,-1.044847843,2.126944717,1
1.923963134,1.982507289,1,-1.325633515,0.004716242,-1
2.891705069,2.069970845,1,4.879820032,-0.289116255,-1
